name,temp_note,name_note,date,item,cost,notes,return,seasonal,breakfast,lunch,dinner,primary meal,hide,questionable,superlative,coordinates,address
A & B Package Variety,,,2025-10-04,turkey club,9.99,standard issue deli turkey club. roll a tad dry.,no,FALSE,FALSE,FALSE,FALSE,lunch,,,,,
ACE Sushi,,at Berkshire Food Coop,2025-10-04,spicy tuna roll,11.49,"adequate grocery store sushi, spicy sauce shines over slighty mushy tuna.",no,FALSE,FALSE,FALSE,FALSE,lunch,,,,,
Aegean Breeze,,,2025-10-05,traditional lamb gyro,17.95,"soft pita featuring flat meat, but cohesive flavors.",maybe,FALSE,FALSE,TRUE,TRUE,dinner,,,,,
AFC Sushi,,at Big Y,2025-10-06,marina plate,11.49,adequate grocery store sushi. salmon slightly better than tuna. i have doubts this is the best-selling item.,no,FALSE,FALSE,TRUE,TRUE,lunch/dinner,,,,,
Agaves,,,2025-10-06,sizzling fajitas,23,it sizzled and steamed and was enough for two people.,yes,FALSE,FALSE,TRUE,TRUE,lunch/dinner,,,,,
Aroma Bar and Grill,,,2025-10-07,chicken tikka masala,21.95,"tender chicken, creamy sauce, very orange, lots of rice. but now takeout only.",yes,FALSE,FALSE,FALSE,TRUE,dinner,,,,,
Ayakito Japanese Kitchen,,at GB Farmers Market,2025-10-04,tuna and mayo onigiri,5,soft and fluffly rice with a little bit of tuna and mayo in the center..,maybe,TRUE,TRUE,TRUE,FALSE,lunch,,,,,
Azteca Taqueria,,,2025-10-08,azteca beef burrito,14,"literally bursting beef and bean burrito, a tad mealy the meat, decent flavor.",no,FALSE,FALSE,TRUE,TRUE,lunch,,,,,
Backstage Grille,,,2025-10-12,classic burger with cheese,13,"a mound of tots with a side of burger, patty was meh, tots were on point. go for the bowling.",no,FALSE,FALSE,FALSE,FALSE,dinner,,,,,
Barrington Brewery & Restaurant,,,2025-10-13,fish and chips,24,"my daughter said the chair was uncomfortable. nevertheless, the fish had a nice fry, plus they have house-brewed beer.",yes,FALSE,FALSE,FALSE,FALSE,lunch/dinner,,,,,
Bear Butter,,,2025-10-09,buzz bowl,14,"a bit of everything; sweet, crunchy, salty, tart.",yes,FALSE,TRUE,TRUE,FALSE,breakfast/lunch,,,,,
Berkshire Food Coop,,,2025-10-09,turkey bacon avocado,12.99,"lightly toasted bread, sprouts and avocado balance out turkey and bacon.",yes,FALSE,TRUE,TRUE,FALSE,breakfast/lunch,,,,,
Berkshire Mountain Bakery,,,2025-10-14,classic signature pizza,13,a nice crunchy crust and good flavors. minus ten points since i had to bake it myself.,yes,FALSE,FALSE,FALSE,FALSE,lunch/dinner,,pizza?,,,
Big Y World Class Market,,,2025-10-15,italian trio sub,6.99,"a meaty threesome, tasted like a knock-off sandwich from subway.",no,FALSE,FALSE,TRUE,TRUE,lunch,,,,,
Bistro Box,,,2025-10-03,box burger,16.95,"juicy burger with big flavor, bacon jam rocks.",yes,TRUE,TRUE,TRUE,FALSE,lunch,,,,,
Bizalion's Fine Food,,,2025-10-16,"prosciutto, tomato, mozzarella",15,"nothing clever to say, just a solid sandwich with good ingredients.",yes,FALSE,TRUE,TRUE,FALSE,lunch,,,,,
Bizen Gourmet Japanese Restaurant,,,2025-10-17,salmon teriyaki bento,20,"refusing to accept that their most expensive item—chillean sea bass—was their most popular, i ordered the runner-up. the fish was good, the rest was okay.",no,FALSE,FALSE,TRUE,TRUE,lunch/dinner,,,,,
Bogies,,,2025-10-22,black angus burger,15,it's hard to enjoy a burger when you know there is a better burger less than 100 yards away. the fries were good. ,no,FALSE,FALSE,FALSE,FALSE,dinner,,,,,
Butternut Lodge,,,,,,,,FALSE,FALSE,FALSE,TRUE,dinner,,?,,,
Cafe Adam,,,2025-10-23,bolognese,39,"aside from a good portion, it didn't give me what i needed at that price.",no,FALSE,FALSE,TRUE,TRUE,dinner,,,,,
Cafe Holli,,,2025-10-20,big bruce,7.8,an on-the-go spartan breakfast sandwich on an english muffin. eggs remained fluffy despite hanging out pre-made in a heated case.,maybe,FALSE,TRUE,TRUE,FALSE,breakfast,,,,,
Common or Garden Pub,,,2025-10-26,the signature double,19,"solid big mac-esque burger. fries meh. good for watching football, or football. ",maybe,FALSE,FALSE,FALSE,TRUE,dinner,,,,,
Cumberland Farms,,,2025-10-21,pepperoni pizza,2.99,"cumby's pizza was...good. soft crust like a warm hug. not overly greasy. a whopping 680 calories, but i still might be back to dine on the angus burger.",maybe,FALSE,TRUE,TRUE,TRUE,lunch,,,,,
Dunkin' Donuts,,,2025-10-21,"sausage, egg, and cheese",4.39,"the speedy preparation was too good to be true, as i bit into an unexpectedly cold slice of cheese.",no,FALSE,TRUE,FALSE,FALSE,breakfast,,,,,
The East Asian Cuisine,11 (closed mon),,wed,,,,,FALSE,FALSE,TRUE,TRUE,lunch/dinner,,,,,
Elm,sat at 12,The,2025-10-25,the elm burger,22,the quintessential fancy bar burger. quite tasty. didn't care for the modern country music. ,yes ,FALSE,FALSE,TRUE,TRUE,dinner,,,,,
Extra Special Teas 2,closed weekend,,tue,,,,,FALSE,TRUE,TRUE,FALSE,lunch/dinner,,,,,
Fairview Hospital,,,mon,,,,,FALSE,FALSE,FALSE,FALSE,breakfast/lunch,,,,,
Farm Country Soup,wed-sat,,thu,,,,,FALSE,FALSE,TRUE,FALSE,lunch,,,,,
Fiddleheads Grille,12-9,,fri,,,,,FALSE,FALSE,TRUE,TRUE,,,,,,
Fiesta Bar and Grill,11 (closed mon),,sat,,,,,FALSE,FALSE,TRUE,TRUE,lunch/dinner,,,,,
Four Brother's Pizza,1130,,sun,,,,,FALSE,FALSE,TRUE,TRUE,lunch/dinner,,,,,
Fuel,,,mon,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,
GB Eats,,,mon,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,
Great Barrington Bagel Company,,The,tue,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,
Great Barrington Little League Snack Bar,,,2025-10-04,slice of cheeze pizza,3,"I don't think this counts, but I couldn't resist a room temp sllce from Big Y, plus a free kids baseball game",no,TRUE,FALSE,TRUE,FALSE,,,,,,
Great Barrington Pizza House,,,tue,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,
Great Barrington Sunoco,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,?,,,
Great Wall Chinese Food,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,
